REF_DATE,GEO,DGUID,Gender,Age group,UOM,UOM_ID,SCALAR_FACTOR,SCALAR_ID,VECTOR,COORDINATE,VALUE,STATUS,SYMBOL,TERMINATED,DECIMALS
2024,Newfoundland and Labrador,2021A000210,Women+,100 years and older,Persons,249,units,0,v31226601,2.3.138,99,,,,0
2024,Newfoundland and Labrador,2021A000210,Women+,Median age,Years,308,units,0,v467006,2.3.105,48.9,,,,1
2024,Prince Edward Island,2021A000211,Men+,All ages,Persons,249,units,0,v467299,3.2.1,88082,,,,0
2024,Prince Edward Island,2021A000211,Men+,0 to 4 years,Persons,249,units,0,v467515,3.2.7,3664,,,,0
2024,Prince Edward Island,2021A000211,Men+,5 to 9 years,Persons,249,units,0,v467329,3.2.13,4462,,,,0
2024,Prince Edward Island,2021A000211,Men+,10 to 14 years,Persons,249,units,0,v467347,3.2.19,4757,,,,0
2024,Prince Edward Island,2021A000211,Men+,15 to 19 years,Persons,249,units,0,v467368,3.2.25,5123,,,,0
2024,Prince Edward Island,2021A000211,Men+,20 to 24 years,Persons,249,units,0,v467389,3.2.31,7446,,,,0
2024,Prince Edward Island,2021A000211,Men+,25 to 29 years,Persons,249,units,0,v467407,3.2.37,7641,,,,0
2024,Prince Edward Island,2021A000211,Men+,30 to 34 years,Persons,249,units,0,v467428,3.2.43,5864,,,,0
2024,Prince Edward Island,2021A000211,Men+,35 to 39 years,Persons,249,units,0,v467446,3.2.49,5459,,,,0
2024,Prince Edward Island,2021A000211,Men+,40 to 44 years,Persons,249,units,0,v467467,3.2.55,5111,,,,0
2024,Prince Edward Island,2021A000211,Men+,45 to 49 years,Persons,249,units,0,v467488,3.2.61,5095,,,,0
2024,Prince Edward Island,2021A000211,Men+,50 to 54 years,Persons,249,units,0,v467506,3.2.67,5244,,,,0
2024,Prince Edward Island,2021A000211,Men+,55 to 59 years,Persons,249,units,0,v467527,3.2.73,5361,,,,0
2024,Prince Edward Island,2021A000211,Men+,60 to 64 years,Persons,249,units,0,v467545,3.2.79,5997,,,,0
2024,Prince Edward Island,2021A000211,Men+,65 to 69 years,Persons,249,units,0,v467566,3.2.85,5427,,,,0
2024,Prince Edward Island,2021A000211,Men+,70 to 74 years,Persons,249,units,0,v467569,3.2.86,4515,,,,0
2024,Prince Edward Island,2021A000211,Men+,75 to 79 years,Persons,249,units,0,v467572,3.2.87,3652,,,,0
2024,Prince Edward Island,2021A000211,Men+,80 to 84 years,Persons,249,units,0,v467575,3.2.88,1868,,,,0
2024,Prince Edward Island,2021A000211,Men+,85 to 89 years,Persons,249,units,0,v467578,3.2.89,933,,,,0
2024,Prince Edward Island,2021A000211,Men+,90 to 94 years,Persons,249,units,0,v31226615,3.2.126,380,,,,0
2024,Prince Edward Island,2021A000211,Men+,95 to 99 years,Persons,249,units,0,v31226621,3.2.132,71,,,,0
2024,Prince Edward Island,2021A000211,Men+,100 years and older,Persons,249,units,0,v31226627,3.2.138,12,,,,0
2024,Prince Edward Island,2021A000211,Men+,Median age,Years,308,units,0,v467320,3.2.105,39.7,,,,1
2024,Prince Edward Island,2021A000211,Women+,All ages,Persons,249,units,0,v467300,3.3.1,91627,,,,0
2024,Prince Edward Island,2021A000211,Women+,0 to 4 years,Persons,249,units,0,v467516,3.3.7,3590,,,,0
2024,Prince Edward Island,2021A000211,Women+,5 to 9 years,Persons,249,units,0,v467330,3.3.13,4114,,,,0
2024,Prince Edward Island,2021A000211,Women+,10 to 14 years,Persons,249,units,0,v467348,3.3.19,4696,,,,0
2024,Prince Edward Island,2021A000211,Women+,15 to 19 years,Persons,249,units,0,v467369,3.3.25,5025,,,,0
2024,Prince Edward Island,2021A000211,Women+,20 to 24 years,Persons,249,units,0,v467390,3.3.31,7290,,,,0
2024,Prince Edward Island,2021A000211,Women+,25 to 29 years,Persons,249,units,0,v467408,3.3.37,6658,,,,0
2024,Prince Edward Island,2021A000211,Women+,30 to 34 years,Persons,249,units,0,v467429,3.3.43,5754,,,,0
2024,Prince Edward Island,2021A000211,Women+,35 to 39 years,Persons,249,units,0,v467447,3.3.49,5811,,,,0
2024,Prince Edward Island,2021A000211,Women+,40 to 44 years,Persons,249,units,0,v467468,3.3.55,5746,,,,0
2024,Prince Edward Island,2021A000211,Women+,45 to 49 years,Persons,249,units,0,v467489,3.3.61,5395,,,,0
2024,Prince Edward Island,2021A000211,Women+,50 to 54 years,Persons,249,units,0,v467507,3.3.67,5431,,,,0
2024,Prince Edward Island,2021A000211,Women+,55 to 59 years,Persons,249,units,0,v467528,3.3.73,5610,,,,0
2024,Prince Edward Island,2021A000211,Women+,60 to 64 years,Persons,249,units,0,v467546,3.3.79,6516,,,,0
2024,Prince Edward Island,2021A000211,Women+,65 to 69 years,Persons,249,units,0,v467567,3.3.85,5891,,,,0
2024,Prince Edward Island,2021A000211,Women+,70 to 74 years,Persons,249,units,0,v467570,3.3.86,5085,,,,0
2024,Prince Edward Island,2021A000211,Women+,75 to 79 years,Persons,249,units,0,v467573,3.3.87,4061,,,,0
2024,Prince Edward Island,2021A000211,Women+,80 to 84 years,Persons,249,units,0,v467576,3.3.88,2464,,,,0
2024,Prince Edward Island,2021A000211,Women+,85 to 89 years,Persons,249,units,0,v467579,3.3.89,1509,,,,0
2024,Prince Edward Island,2021A000211,Women+,90 to 94 years,Persons,249,units,0,v31226628,3.3.126,724,,,,0
2024,Prince Edward Island,2021A000211,Women+,95 to 99 years,Persons,249,units,0,v31226634,3.3.132,206,,,,0
2024,Prince Edward Island,2021A000211,Women+,100 years and older,Persons,249,units,0,v31226640,3.3.138,51,,,,0
2024,Prince Edward Island,2021A000211,Women+,Median age,Years,308,units,0,v467321,3.3.105,42.5,,,,1
2024,Nova Scotia,2021A000212,Men+,All ages,Persons,249,units,0,v467614,4.2.1,535593,,,,0
2024,Nova Scotia,2021A000212,Men+,0 to 4 years,Persons,249,units,0,v467830,4.2.7,21460,,,,0
2024,Nova Scotia,2021A000212,Men+,5 to 9 years,Persons,249,units,0,v467644,4.2.13,26156,,,,0
2024,Nova Scotia,2021A000212,Men+,10 to 14 years,Persons,249,units,0,v467662,4.2.19,27478,,,,0
2024,Nova Scotia,2021A000212,Men+,15 to 19 years,Persons,249,units,0,v467683,4.2.25,27894,,,,0
2024,Nova Scotia,2021A000212,Men+,20 to 24 years,Persons,249,units,0,v467704,4.2.31,36558,,,,0
